station,window_months,drought_2025_low_cfs,drought_2025_low_month,drought_2025_rank,drought_2025_percentile,drought_2025_historical_n,current_month,current_rolling_cfs,current_rank,current_percentile,current_historical_n,historical_low_cfs,historical_low_month,recovery_cfs,recovery_pct
Comal Springs,1,61.45161290322581,2025-05-01,19,1.6740088105726871,1135,2026-07-01,189.80645161290323,188,16.56387665198238,1135,0,1956-07-01,128.35483870967744,208.8713910761155
Comal Springs,3,67.19318996415771,2025-05-01,20,1.7652250661959399,1133,2026-07-01,168.55412186379928,152,13.415710503089143,1133,0,1956-09-01,101.36093189964157,150.8500072011906
Comal Springs,6,70.15035842293906,2025-05-01,19,1.6814159292035398,1130,2026-07-01,119.579006656426,77,6.814159292035399,1130,4.2,1956-11-01,49.42864823348694,70.46100596589943
Comal Springs,9,71.17873357228196,2025-05-01,15,1.3309671694764862,1127,2026-07-01,103.29078341013825,46,4.081632653061225,1127,14.446833930704898,1956-12-01,32.11204983785629,45.11466870262102
Comal Springs,12,77.64695340501792,2025-05-01,18,1.601423487544484,1124,2026-07-01,98.1528545826933,42,3.7366548042704624,1124,24.678443420378905,1957-03-01,20.50590117767537,26.409151007784647
Comal Springs,18,91.57096774193549,2025-09-01,30,2.6833631484794274,1118,2026-07-01,95.71910735620413,36,3.2200357781753133,1118,42.18686900789237,1957-02-01,4.1481396142686435,4.529972453669928
Comal Springs,24,99.29156624644666,2025-06-01,31,2.787769784172662,1112,2026-07-01,90.58892729134665,26,2.338129496402878,1112,51.08289369140314,1957-04-01,-8.702638955100014,-8.764731269823688
Comal Springs,36,107.73632364885145,2025-09-01,31,2.8181818181818183,1100,2026-07-01,100.22651182089447,22,2,1100,73.23010458416465,1957-04-01,-7.50981182795698,-6.970547697946294
Comal Springs,48,133.9032011979801,2025-09-01,39,3.5845588235294117,1088,2026-07-01,106.1247305758603,17,1.5625,1088,98.8656947975705,1957-10-01,-27.778470622119812,-20.74518784733792
Comal Springs,60,160.19645240743682,2025-09-01,53,4.925650557620818,1076,2026-07-01,132.90184155234212,23,2.137546468401487,1076,117.8768210710313,1957-09-01,-27.294610855094703,-17.038211798645055
San Marcos Springs,1,84.6774193548387,2025-05-01,36,4.394299287410926,842,2026-07-01,112.87096774193549,170,20.190023752969122,842,53.54838709677419,1956-08-01,28.193548387096783,33.29523809523811
San Marcos Springs,3,85.66344086021505,2025-05-01,35,4.166666666666666,840,2026-07-01,98.3448028673835,91,10.833333333333334,840,55.74336917562724,1956-09-01,12.68136200716846,14.80370375019351
San Marcos Springs,6,84.75606758832565,2025-05-01,18,2.1505376344086025,837,2026-07-01,88.31981566820276,38,4.540023894862605,837,60.95179211469534,1956-11-01,3.563748079877115,4.204711451676624
San Marcos Springs,9,85.52853729305342,2025-05-01,10,1.1990407673860912,834,2026-07-01,86.71046253626899,14,1.6786570743405276,834,64.92907492746203,1957-02-01,1.1819252432155736,1.381907466938026
San Marcos Springs,12,89.1558115719406,2025-09-01,15,1.8050541516245486,831,2026-07-01,88.39171786994368,12,1.444043321299639,831,84.25361623143881,1957-05-01,-0.7640937019969272,-0.8570318507844843
San Marcos Springs,18,96.39479433350401,2025-09-01,21,2.5454545454545454,825,2026-07-01,89.04010923365762,10,1.2121212121212122,825,86.46615463389656,2026-04-01,-7.354685099846392,-7.629753401828799
San Marcos Springs,24,97.36609327824567,2025-05-01,7,0.8547008547008548,819,2026-07-01,88.80001920122888,2,0.2442002442002442,819,88.58899769585254,2026-06-01,-8.566074077016793,-8.797799920489046
San Marcos Springs,36,95.09468942564048,2025-06-01,7,0.8674101610904585,807,2026-07-01,95.0571019533756,6,0.7434944237918215,807,94.19270529865635,2026-05-01,-0.03758747226488879,-0.03952636313543367
San Marcos Springs,48,107.5402166980066,2025-09-01,11,1.3836477987421385,795,2026-07-01,93.50564008510338,2,0.25157232704402516,795,93.24152718187757,2026-06-01,-14.034576612903223,-13.050537783753013
San Marcos Springs,60,113.04698006603456,2025-09-01,11,1.40485312899106,783,2026-07-01,105.62395779260908,1,0.1277139208173691,783,105.62395779260908,2026-07-01,-7.423022273425488,-6.566316295304353
